,p_Proteobacteria,p_Bacteroidetes,p_Firmicutes,p_Actinobacteria,p_Cyanobacteria,p_Verrucomicrobia,p_Fusobacteria,f_Enterobacteriaceae,f_Yersiniaceae,f_Pectobacteriaceae,f_Pseudomonadaceae,f_Moraxellaceae,f_Chromatiaceae,f_Xanthomonadaceae,f_Pasteurellaceae,f_Comamonadaceae,f_Burkholderiaceae,f_Oxalobacteraceae,f_Neisseriaceae,f_Rhodobacteraceae,f_Bradyrhizobiaceae,f_Methylobacteriaceae,f_Caulobacteraceae,f_Sphingomonadaceae,f_Desulfovibrionaceae,f_Campylobacteraceae,f_Prevotellaceae,f_Bacteroidaceae,f_Porphyromonadaceae,f_Tannerellaceae,f_Rikenellaceae,f_Odoribacteraceae,f_Flavobacteriaceae,f_Ruminococcaceae,f_Lachnospiraceae,f_Clostridiaceae,f_Eubacteriaceae,f_Oscillospiraceae,f_Staphylococcaceae,f_Streptococcaceae,f_Erysipelotrichaceae,f_Peptoniphilaceae,f_Veillonellaceae,f_Micrococcaceae,f_Microbacteriaceae,f_Corynebacteriaceae,f_Propionibacteriaceae,f_Actinomycetaceae,f_Bifidobacteriaceae,f_Coriobacteriaceae,f_Leptotrichiaceae,f_Akkermansiaceae,f_Fusobacteriaceae,g_Escherichia,g_Salmonella,g_Klebsiella,g_Yersinia,g_Sodalis,g_Pseudomonas,g_Acinetobacter,g_Moraxella,g_Rheinheimera,g_Stenotrophomonas,g_Pasteurella,g_Hydrogenophaga,g_Comamonas,g_Delftia,g_Ralstonia,g_Cupriavidus,g_Paraburkholderia,g_Paracoccus,g_Bradyrhizobium,g_Brevundimonas,g_Desulfovibrio,g_Campylobacter,g_Prevotella,g_Bacteroides,g_Porphyromonas,g_Parabacteroides,g_Alistipes,g_Odoribacter,g_Butyricimonas,g_Faecalibacterium,g_Flavonifractor,g_Anaerostipes,g_Blautia,g_Clostridium,g_Hungatella,g_Eubacterium,g_Oscillibacter,g_Staphylococcus,g_Streptococcus,g_Parvimonas,g_Veillonella,g_Micrococcus,g_Rothia,g_Microcella,g_Corynebacterium,g_Cutibacterium,g_Actinomyces,g_Bifidobacterium,g_Collinsella,g_Leptotrichia,g_Akkermansia,g_Lachnoclostridium,g_Fusobacterium,g_Burkholderia,s_Escherichia coli,s_Salmonella enterica,s_Klebsiella pneumoniae,s_Yersinia pestis,s_Candidatus Sodalis pierantonius,s_Pseudomonas sp. NC02,s_Acinetobacter johnsonii,s_Moraxella osloensis,s_Rheinheimera sp. LHK132,s_Stenotrophomonas maltophilia,s_Pasteurella multocida,s_Hydrogenophaga sp. NH-16,s_Ralstonia pickettii,s_Ralstonia insidiosa,s_Cupriavidus metallidurans,s_Paraburkholderia fungorum,s_Paracoccus sp. Arc7-R13,s_Campylobacter ureolyticus,s_Bacteroides dorei,s_Bacteroides vulgatus,s_Bacteroides ovatus,s_Bacteroides uniformis,s_Bacteroides thetaiotaomicron,s_Bacteroides caccae,s_Bacteroides fragilis,s_Bacteroides clarus,s_Bacteroides caecimuris,s_Bacteroides cellulosilyticus,s_Porphyromonas asaccharolytica,s_Parabacteroides distasonis,s_Alistipes shahii,s_Alistipes finegoldii,s_Odoribacter splanchnicus,s_Butyricimonas faecalis,s_Faecalibacterium prausnitzii,s_Flavonifractor plautii,s_rectale,s_Lachnospiraceae bacterium GAM79,s_Anaerostipes hadrus,s_Clostridium botulinum,s_Clostridium saccharobutylicum,s_Hungatella hathewayi,s_Eubacterium hallii,s_Streptococcus pyogenes,s_Parvimonas micra,s_Micrococcus luteus,s_Microcella alkaliphila,s_Cutibacterium acnes,s_Actinomyces oris,s_Bifidobacterium longum,s_Collinsella aerofaciens,s_Fusobacterium nucleatum,s_Akkermansia muciniphila
RT23,0.950088769,0.015806655,0.016894794,0.016551171,0.000229082,2.86E-05,0.000400893,0.444391888,0.003724945,0.001892036,0.301779696,0.034647904,0.004375333,0.018388222,0.000473009,0.033938391,0.044994974,0.00183291,0.000591261,0.008514161,0.007627269,0.001478153,0.003724945,0.00319281,5.91E-05,0,0.000473009,0.021994915,0,0.001714657,0.000413883,0.001419027,0.003665819,0.010465323,0.002542423,0.003843198,5.91E-05,0.000650387,0.001655531,0.007272512,0.003311062,0.000591261,0.000295631,0.003488441,0.005203098,0.005616981,0.006208242,0.001419027,0.001182522,5.91E-05,0.000354757,0,0.000473009,0.066372256,0.015196779,0.01818418,0.007403559,0.00389661,0.525522795,0.065203273,0.00519548,0.009481751,0.002987401,0.000389661,0.003506949,0.010131186,0.005065593,0.064943499,0.007923107,0.010520847,0.00259774,0.007663333,0.006884011,0,0,0.001039096,0.048317963,0,0.003766723,0.000909209,0.002727627,0.000389661,0.021691129,0.000779322,0.000389661,0.000649435,0.008312768,0.000129887,0.000129887,0.001428757,0.003506949,0.015846214,0,0.000649435,0.001688531,0.000389661,0.006104689,0.012339265,0.010520847,0.002987401,0.000909209,0.000129887,0.000779322,0,0.001168983,0.001039096,0.012209378,0.204040404,0.047272727,0.044444444,0.018181818,0.012121212,0.013737374,0.024646465,0.014949495,0.029494949,0.006464646,0.001212121,0.01010101,0.15959596,0.026262626,0.021818182,0.032323232,0.005252525,0,0.012121212,0.071919192,0,0.005252525,0.003636364,0.004848485,0.012121212,0.000808081,0.00040404,0.00040404,0,0.004444444,0.00040404,0.001212121,0.008484848,0.001212121,0.067474747,0.002424242,0,0,0.001212121,0.010505051,0.014141414,0.00040404,0,0.042828283,0,0.005252525,0.018989899,0.03030303,0.002828283,0.002020202,0.00040404,0.002020202,0
RT24,0.942288326,0.018359284,0.013130374,0.022891006,0.001084515,0,0.002246495,0.460841019,0.005002345,0.001406909,0.308972956,0.018055338,0.006878224,0.004377052,0.000547131,0.041269345,0.040878537,0.000781616,0.001172425,0.003204627,0.003048304,0.001406909,0.00336095,0.002579334,0,7.82E-05,0.004924183,0.025089886,0.001875879,0.000312647,0,7.82E-05,0.002032203,0,0.001485071,0.004846022,0,0,0.002266688,0.008206972,0.001719556,0.002970142,0.000859778,0.006643739,0.005627638,0.014381741,0.006409254,0.001485071,0.000312647,7.82E-05,0.000234485,0,0.00429889,0.06257379,0.018384213,0.016360263,0.009107775,0.002867263,0.523865745,0.031202564,0.006240513,0.014673638,0.005903188,0,0.002867263,0.018890201,0.008433125,0.066790353,0.008264463,0.008939113,0.004385225,0.005565863,0.006240513,0,0.000168663,0.010625738,0.054140665,0.0040479,0,0,0.000168663,0,0,0,0,0,0.007758475,0.0026986,0,0,0.00472255,0.017709563,0.00607185,0.00067465,0.005565863,0.000505988,0.005903188,0.031033901,0.011131725,0.0026986,0.00067465,0.000168663,0.000505988,0,0.00067465,0.009276438,0.001517963,0.183458647,0.054636591,0.037092732,0.020050125,0.008521303,0.014035088,0.00952381,0.01754386,0.043609023,0.007017544,0,0.008521303,0.169423559,0.015538847,0.023558897,0.02556391,0.008521303,0.000501253,0,0,0.001002506,0,0,0,0.152882206,0,0.000501253,0,0.012030075,0,0,0,0.000501253,0,0,0,0,0,0,0.007017544,0.015037594,0.00802005,0,0.042105263,0.018045113,0.016541353,0.01754386,0.032080201,0.002506266,0.001002506,0.000501253,0.02556391,0
RT25,0.873390522,0.072924414,0.027454092,0.021305433,0.000347102,0,0.004578437,0.407565646,0.003617539,0.001465727,0.251387763,0.026539013,0.003025011,0.004147695,0.001871141,0.034740847,0.032869706,0.001091499,0.000873199,0.00296264,0.002370112,0.001559284,0.005301566,0.002432483,3.12E-05,0.001185056,0.007983534,0.103785941,0.010603131,0.00779642,0.000311857,0.001122684,0.002370112,0.007858791,0.012162415,0.005675794,0.000374228,0.001559284,0.003617539,0.008077091,0.001122684,0.001029127,0.000498971,0.00664255,0.004677852,0.004802595,0.006268322,0.002120626,0.00483378,0.001091499,0.001403356,0,0.007172706,0.046740763,0.01393812,0.014058276,0.006127966,0.002463202,0.380775008,0.038269751,0.009672574,0.005767498,0.004686092,0.002162812,0.005527185,0.013637729,0.006368279,0.046440372,0.006368279,0.007329528,0.003664764,0.003965155,0.007990388,0,0.000841093,0.015139682,0.199939922,0.020426555,0.014598979,0.000600781,0.001021328,0.001141484,0.009372184,0.005046561,0.003003905,0.001802343,0.01045359,0.000360469,0.000720937,0.003003905,0.006848904,0.015139682,0.00096125,0.000841093,0.002343046,0.002102734,0.005046561,0.009252028,0.009792731,0.003424452,0.009071793,0.002102734,0.002343046,0,0.002583358,0.013817963,0.000901172,0.106199611,0.032249096,0.025993884,0.01000834,0.005143175,0.008201279,0.010564359,0.020572699,0.013344454,0.006394217,0.00500417,0.012371421,0.086738949,0.011259383,0.013205449,0.016402558,0.005838198,0,0.015429525,0.097164304,0.001251043,0.157909369,0.033361134,0,0.054489853,0.064081179,0.000278009,0.000417014,0.00236308,0.009869336,0.000139005,0.000417014,0.00236308,0.00264109,0.021684737,0.011676397,0.000139005,0.028773978,0.006950236,0.012371421,0.010147345,0.000834028,0.000278009,0.021128718,0.002224076,0.005421184,0.011676397,0.015985544,0.00264109,0.006116208,0.004865165,0.005421184,0
RT26,0.858988091,0.055005986,0.017925777,0.017043665,0.000252032,0,0.05078445,0.40892435,0.003014184,0.001122931,0.237765957,0.011938534,0.002600473,0.003014184,0.001004728,0.036406619,0.03427896,0.003309693,0.000650118,0.001536643,0.002600473,0.001595745,0.002541371,0.002009456,0.000236407,5.91E-05,0.000531915,0.082683215,0.000177305,0.011761229,0.00212766,0.001654846,0.001536643,0.000413712,0.002186761,0.00927896,0.000472813,0.001891253,0.001654846,0.008274232,0.000118203,0.00035461,0.00035461,0.004255319,0.004078014,0.003309693,0.010224586,0.001477541,0.00070922,0.000650118,0.000413712,0,0.094799054,0.04366429,0.012945694,0.015469007,0.005046626,0.001755348,0.350191991,0.017114646,0.003620406,0.004717499,0.003949534,0.001097093,0.013933077,0.009325288,0.005814591,0.04805266,0.006143719,0.006692265,0.000658256,0.004059243,0.003400987,0.000219419,0.000109709,0.000987383,0.153483269,0.000329128,0.021393308,0.003949534,0.001755348,0.001316511,0,0.000767965,0.000219419,0.000438837,0.017004937,0.000219419,0.000877674,0.003510697,0.00296215,0.015359298,0.000658256,0.000658256,0.001755348,0.002413604,0.003949534,0.006143719,0.017224355,0.002523313,0.000987383,0.001206802,0.000767965,0,0.002194185,0.175863961,0.001097093,0.118938701,0.035986581,0.034156755,0.009149131,0.004574565,0.00579445,0.010673986,0.009454102,0.013113754,0.006709363,0.00304971,0.038426349,0.109484599,0.011588899,0.015553522,0.017078378,0.000609942,0,0.083562062,0.062519061,0.025312595,0.017993291,0.012503812,0.036901494,0.115279048,0.019518146,0.003354681,0.000304971,0.000914913,0.009149131,0.00304971,0.005489478,0.004879536,0.003659652,0,0.002134797,0,0,0.000609942,0.039951205,0.007319305,0.000609942,0,0.024702653,0.001829826,0.004879536,0.010978957,0.046660567,0.002439768,0.001524855,0.003354681,0.004269594,0
RT27,0.915379796,0.042439096,0.021726311,0.018704161,0.000386983,0.00016585,0.001197803,0.419855297,0.004031532,0.001655808,0.306792412,0.017889925,0.003995537,0.003635578,0.000647925,0.035851841,0.035995824,0.004319499,0.001115871,0.008171052,0.003455599,0.0017278,0.004895432,0.00370757,0,0.000107987,0.001871783,0.063856593,0.000179979,0.004607466,0.003635578,0.001151866,0.002015766,0.004607466,0.011266693,0.003923545,0.000575933,0.000143983,0.004103524,0.008890969,7.20E-05,0.00043195,0.000755912,0.005795328,0.005363378,0.004967424,0.007091177,0.002807674,0.000827904,0.000539937,0.001151866,0.000323962,0.001187862,0.049453751,0.016533139,0.016751639,0.007064822,0.002694829,0.494173343,0.030298616,0.003423161,0.008011653,0.004879825,0.000291333,0.002913328,0.012381646,0.006627822,0.054770575,0.007210488,0.006627822,0.011216315,0.004879825,0.005098325,0,0.0002185,0.003714494,0.129206118,0.000364166,0.008739985,0.007356154,0.001747997,0.000582666,0.008375819,0.000145666,0.008011653,0.002476329,0.00772032,0.0002185,0.001165331,0.000291333,0.007428988,0.017844137,0,0.001238165,0.002476329,0.002549162,0.006482156,0.010050983,0.011289148,0.005462491,0.001675164,0.001092498,0.001893664,0.000655499,0,0.002403496,0.00182083,0.131147541,0.044835078,0.037922181,0.013430772,0.005925341,0.010665613,0.014813352,0.008492988,0.021726249,0.006517875,0.000790045,0.007110409,0.117124235,0.014023306,0.018171045,0.016985977,0.015800909,0.000395023,0.019158602,0.083349793,0.006517875,0.014813352,0.017776022,0.000592534,0.01165317,0.005135295,0.000790045,0.126407268,0,0.005135295,0.000790045,0.016788465,0.004740273,0.001580091,0.022713806,0.000395023,0.001975114,0.024886431,0.021726249,0.007900454,0.011850681,0.000592534,0.002172625,0.031799328,0,0.006715386,0.017578511,0.029231681,0.007110409,0.003555204,0.00296267,0.003950227,0.001777602
RT28,0.40297861,0.381040377,0.065202578,0.015176014,0.000346484,0.002598633,0.132657304,0.128414679,0.001160991,0.000493231,0.081838463,0.004932313,0.001183755,0.001692163,0.000880228,0.012330784,0.00989498,0.000698112,0.000720877,0.000743641,0.000842287,0.000447702,0.00087264,0.00103958,0.001639046,0.002724155,0.015874461,0.338690585,0.006457537,0.088000061,0.030420992,0.009265161,0.000553937,0.016056577,0.016974747,0.003801675,0.001198932,0.003786499,0.000842287,0.014743823,0.001138226,0.004628786,0.001510047,0.002299217,0.001775633,0.001805986,0.003771323,0.002602744,0.000690524,0.002959388,0.003270503,0.003338797,0.170991926,0.009019554,0.002921828,0.003302935,0.00127036,0.00054444,0.077165283,0.004700331,0.000716846,0.001415544,0.001469988,0.000707772,0.00267683,0.0018148,0.00086203,0.008538633,0.00131573,0.001297582,0.000399256,0.000780364,0.000834808,0.00190554,0.003239417,0.016478381,0.405008847,0.007694751,0.104931718,0.036359512,0.007658455,0.003321083,0.015053763,0.003847375,0.008075859,0.0022685,0.003393675,0.000871104,0.001433692,0.004527925,0.000970918,0.017440225,0.005380881,0.000653328,0.00036296,0.001052584,0.000970918,0.002159612,0.003148677,0.001787578,0.000798512,0.003529785,0.003865523,0.003992559,0.00140647,0.204473481,0.00018148,0.013049441,0.004274358,0.00404799,0.001251681,0.000732367,0.00087884,0.001105208,0.000945419,0.002077258,0.001304944,0.001038629,0.003901517,0.00994687,0.001358207,0.001784311,0.00185089,0.000412788,0.004607252,0.004673831,0.067244571,0.029813979,0.013688598,0.03511365,0.129961784,0.066205941,0.001544628,0.006045353,0.13333067,0.010998815,0.032104289,0.046498622,0.002050627,0.011238499,0.004873567,0.02209084,0.005645881,0.002969414,0.002503362,0.011851023,0.002503362,0.00131826,0.001278313,0.001770996,0.003528675,0.007896244,0.00053263,0.001424786,0.004314305,0.000372841,0.000772314,0.005179829,0.268299178,0.005792354
RT29,0.673844822,0.205497241,0.104263608,0.013743101,0.000595174,0.001352667,0.000703387,0.263602004,0.002724796,0.00079107,0.169025226,0.009844423,0.001933726,0.005449591,0.001933726,0.023556298,0.01854619,0.000966863,0.00079107,0.000966863,0.001845829,0.000878966,0.001933726,0.010547596,0.000175793,0.000351587,0.002549002,0.263162521,0.001142656,0.010899183,0.019337259,0.015645601,0.000966863,0.017579327,0.020831502,0.008174387,0.002549002,0.002461106,0.001494243,0.095807331,0.00052738,0.000615276,0.000175793,0.002724796,0.003252175,0.002285312,0.002812692,0.001670036,0.000878966,0.003252175,0.000439483,0.002197416,0.000703173,0.028807123,0.007463664,0.007070839,0.00353542,0.001047532,0.197721618,0.012963205,0.001178473,0.002880712,0.007332722,0.002749771,0.00798743,0.00445201,0.002356946,0.021343459,0.002226005,0.002095064,0.000785649,0.001964122,0.002095064,0.000261883,0.000392824,0.003404478,0.392038759,0.001702239,0.016236742,0.028807123,0.021212518,0.002095064,0.019379337,0.00091659,0.002095064,0.003928244,0.011522849,0.000392824,0.003797303,0.003666361,0.001964122,0.142464318,0,0.000261883,0.001047532,0.000392824,0.002095064,0.003404478,0.00353542,0.002356946,0.00091659,0.004844834,0.000261883,0.003273537,0.001440356,0.001047532,0.000785649,0.051588249,0.013613566,0.008836876,0.003821352,0.001671841,0.001671841,0.005970862,0.001910676,0.005254359,0.012180559,0.005015524,0.014091235,0.028660139,0.004060186,0.003582517,0.003582517,0.000716503,0.000238834,0.08621925,0.141628851,0.03033198,0.102221161,0.037974684,0.081920229,0.058753284,0.028898973,0.006209697,0.025077621,0.003104848,0.005254359,0.043229042,0.004537855,0.038691187,0.003821352,0.035347504,0.001671841,0.0207786,0.012419393,0.003821352,0.008120373,0.004060186,0.000716503,0.006209697,0.012180559,0,0.001910676,0.003821352,0.006209697,0.001671841,0.000477669,0.008836876,0.001433007,0.005970862
RT30,0.740104926,0.079830953,0.09230545,0.085048091,0.00043719,0,0.00227339,0.328798989,0.002225032,0.001314791,0.178912769,0.015828066,0.004197219,0.002022756,0.00182048,0.029835651,0.024475348,0.000758534,0.000303413,0.001618205,0.002477876,0.001112516,0.00182048,0.003185841,0.000303413,5.06E-05,0.00091024,0.097446271,0.000101138,0.019620733,0.011681416,0.000202276,0.001466498,0.04505689,0.035954488,0.009001264,0.006675095,0.009304678,0.000657396,0.016384324,0.000505689,0.000353982,0.003337547,0.005613148,0.003489254,0.00323641,0.00369153,0.002983565,0.091833123,0.025486726,0.000353982,0,0.003590392,0.030476511,0.011618118,0.012965146,0.00336757,0.001852164,0.237161138,0.02155245,0.003115003,0.006987708,0.002357299,0.002020542,0.008166358,0.009429197,0.004209463,0.027698266,0.005472302,0.003956895,0.001599596,0.003030813,0.002188921,0.000505136,8.42E-05,0.001515407,0.162232699,0.000168379,0.032328675,0.019447718,0.000252568,8.42E-05,0.058174777,0.007324465,0.005977437,0.009345008,0.014143795,0.000252568,0.011112982,0.015490823,0.001010271,0.026435427,0.000336757,0.005135545,0.001936353,0.003115003,0.003199192,0.005388112,0.005219734,0.003872706,0.152803502,0.042431386,0.000589325,0,0.003199192,0.005977437,0.001683785,0.061398919,0.024071167,0.022326879,0.004709576,0.003663004,0.004884005,0.007151579,0.006105006,0.014477586,0.003488575,0.00418629,0.016570731,0.046223618,0.005058434,0.010465725,0.008198151,0.001918716,0,0.020408163,0.048840049,0.042386185,0.026862027,0.012733298,0,0.029129601,0.06261992,0.00418629,0.023373452,0,0.01255887,0.032094889,0.004535147,0.000523286,0.000174429,0.120530263,0.015175301,0.017966161,0.035409035,0.012384441,0.015698587,0.00837258,0.000523286,0.021280307,0.013779871,0.000697715,0.004011861,0.006628292,0.00976801,0.000872144,0.052503053,0.087912088,0.01116344,0
RT31,0.853207882,0.073123338,0.032692439,0.037567328,0.000306811,3.41E-05,0.003068112,0.386346104,0.003857033,0.001542813,0.238300334,0.027384932,0.009064027,0.004949859,0.001864232,0.032270507,0.031691952,0.001349961,0.001607097,0.004821291,0.001671381,0.001349961,0.002764207,0.002442787,0.000128568,0.000449987,0.00546413,0.099254307,0,0.014978143,0.005592697,0.004242736,0.002892774,0.008999743,0.016263821,0.007971201,0.001928516,0.00115711,0.002635639,0.010156853,0.000514271,0.000385703,0.0019928,0.010928259,0.006364104,0.006556956,0.012149653,0.004435588,0.004049884,0.01144253,0.001414245,0,0.004371304,0.043363995,0.013140604,0.015410345,0.006092462,0.002389201,0.349420619,0.041333174,0.006092462,0.016843866,0.005853542,0.003344881,0.006570302,0.009437343,0.005973002,0.044319675,0.006450842,0.005017322,0.005495162,0.002269741,0.003344881,0,0.00047784,0.006809222,0.184446303,0,0.026161749,0.010393024,0.003822721,0.004061641,0.013260065,0.00095568,0.006689762,0.003105961,0.014454665,0.00035838,0.003583801,0.002150281,0.004658942,0.018635766,0.00011946,0.003344881,0.006809222,0.007645443,0.006689762,0.012184924,0.018157926,0.007764903,0.007525983,0.021263887,0.002508661,0,0.00071676,0.008123283,0.00095568,0.087714988,0.026781327,0.027272727,0.01007371,0.004176904,0.005651106,0.00982801,0.012039312,0.034643735,0.009090909,0.006879607,0.013513514,0.076167076,0.00982801,0.011793612,0.009336609,0.006879607,0,0.041769042,0.115479115,0.022604423,0.065110565,0.009090909,0.016953317,0.025552826,0.027518428,0.000982801,0.001474201,0,0.010810811,0.011547912,0.004914005,0.007862408,0.008353808,0.027272727,0.001965602,0.030712531,0.000737101,0.013759214,0.017690418,0.010565111,0.000737101,0.007371007,0.021621622,0.0002457,0.014004914,0.013759214,0.034643735,0.005159705,0.009336609,0.043734644,0.014987715,0
RT32,0.923173836,0.021931967,0.020929216,0.028102743,0.001285578,0.004088139,0.00048852,0.446707434,0.004043059,0.001010765,0.283367868,0.023197049,0.00313337,0.004346288,0.003335523,0.038156365,0.041896194,0.002072068,0.001212918,0.005761358,0.004548441,0.004144135,0.00313337,0.002526912,0,0.000101076,0.001111841,0.013645323,0.000606459,0.01399909,0.008642038,0.001313994,0.001566685,0.004144135,0.002779603,0.008540961,0.006216203,0.001010765,0.002223682,0.007883964,0.000101076,0.000303229,0.000404306,0.003891444,0.005811897,0.00399252,0.006317279,0.002072068,0.015212008,0.006620508,0.000555921,0.007934502,0.000404306,0.055705956,0.017180342,0.019575177,0.007080383,0.001770096,0.463660975,0.041024573,0.004789671,0.00635152,0.007705123,0.005726781,0.010828821,0.012911287,0.005622657,0.063411079,0.009371095,0.009683465,0.003852561,0.007913369,0.004477301,0,0.000208247,0.002290712,0.028113286,0.001249479,0.028633903,0.017805081,0.002082466,0.00062474,0.006872137,0.001041233,0.000208247,0.001457726,0.017284465,0.000104123,0.012807164,0.002082466,0.004581424,0.016034985,0,0.000728863,0.002707205,0.00062474,0.006455643,0.008225739,0.010828821,0.003852561,0.031341108,0.01364015,0.001041233,0.016347355,0.000104123,0.000832986,0.001145356,0.146749929,0.046267386,0.0422935,0.013624752,0.004825433,0.013908601,0.015327846,0.012205507,0.017314789,0.01703094,0.015611695,0.029520295,0.142208345,0.01419245,0.022991768,0.024978711,0.00283849,0,0.000567698,0.026114107,0.001135396,0.020153278,0.002554641,0,0.010218564,0,0,0.003122339,0.003406188,0.015327846,0.017882487,0.022991768,0.00567698,0.001703094,0.018734033,0.00283849,0.001703094,0,0.000567698,0.034061879,0.012773205,0.000283849,0.03377803,0.029520295,0,0.007380074,0.017598638,0.025546409,0.001419245,0.018166336,0.037184218,0.001135396,0.044564292
RT33,0.89379156,0.011093158,0.062364054,0.027624138,0.000248586,0,0.004878504,0.443026152,0.004109589,0.00124533,0.251681196,0.017808219,0.002366127,0.008530511,0.004420922,0.036176837,0.031382316,0.00249066,0.000747198,0.005354919,0.002988792,0.005354919,0.005417186,0.007098381,0,0.000933998,0.002179328,0.013636364,0,0.000622665,0.000373599,6.23E-05,0.001867995,0.000311333,0.001307597,0.007596513,0.000373599,0,0.001556663,0.101743462,0,0.000373599,0.000373599,0.003611457,0.014072229,0.003113325,0.004296389,0.001058531,0.000498132,6.23E-05,0.000498132,0,0.009277709,0.058130602,0.016389245,0.017797695,0.007426376,0.002304738,0.412035851,0.028681178,0.004865557,0.004737516,0.013444302,0.004865557,0.012548015,0.014212548,0.004993598,0.047119078,0.006786172,0.007298335,0.007426376,0.005505762,0.007810499,0,0.000384123,0.004481434,0.028040973,0,0.00128041,0.000768246,0,0.000128041,0.000128041,0.000512164,0.001792574,0,0.014340589,0.00128041,0.000768246,0,0.003072983,0.208962868,0.000640205,0.000768246,0.002176697,0.00128041,0.006402049,0.006402049,0.007682458,0.002048656,0.000896287,0.000128041,0.000896287,0,0.000128041,0.019078105,0.001152369,0.208770257,0.061010486,0.052907531,0.017159199,0.008102955,0.017635844,0.019065777,0.01620591,0.017635844,0.044327931,0.018112488,0.046234509,0.142516683,0.016682555,0.022402288,0.026215443,0.005243089,0,0.021925643,0.002383222,0.002859867,0.002859867,0.034318398,0.004766444,0.006673022,0.001429933,0.001906578,0.003336511,0,0.001429933,0,0.000953289,0,0.000476644,0.000476644,0.001906578,0.001429933,0,0.006673022,0.040514776,0.012869399,0.004766444,0.001429933,0.035748332,0.002383222,0.008102955,0.023832221,0.025738799,0.003813155,0.002859867,0.000476644,0.001429933,0
RT34,0.902835863,0.011231927,0.05082248,0.023957462,0.00045804,0.002708408,0.007985821,0.45436863,0.003462227,0.001556057,0.233992064,0.026025053,0.005485101,0.006263129,0.001945071,0.032638295,0.031665759,0.001478254,0.001011437,0.019800825,0.003073212,0.001128141,0.003773438,0.004707072,3.89E-05,0.000350113,0.001594958,0.01065899,0.000427916,0.001283747,0.001439353,0.000583521,0.002956508,0.000155606,0.000233409,0.006068622,0.000155606,0.000155606,0.013265386,0.069439041,0.000311211,0.001011437,0.001244846,0.004512565,0.00381234,0.006846651,0.016766514,0.00245079,0.000505719,0.00054462,0.00054462,0.005290594,0.014977048,0.057985099,0.015468092,0.018626498,0.006316812,0.002672498,0.386135407,0.045999352,0.004778102,0.011337868,0.010609006,0.003077421,0.010366051,0.010447036,0.004940071,0.049319728,0.006640752,0.006640752,0.016520894,0.00526401,0.005992873,8.10E-05,0.000728863,0.003320376,0.022189828,0.000890833,0.002591513,0.002996437,0.000242954,0.000971817,0,8.10E-05,0,0.000242954,0.012228701,0.000404924,0.000323939,0.000323939,0.025753158,0.14399093,0.000890833,0.002186589,0.002834467,0.00170068,0.004373178,0.01425332,0.025753158,0.004778102,0.000890833,0.001133787,0.000971817,0.011013929,0,0.031179138,0.001538711,0.173630223,0.047785839,0.045283963,0.014260696,0.007505629,0.014010508,0.010007506,0.01376032,0.03502627,0.02651989,0.00950713,0.032024018,0.118588942,0.014010508,0.019764824,0.019764824,0.014761071,0.001501126,0.011758819,0.000250188,0.009757318,0.001751313,0.003002252,0,0.039029272,0,0.001000751,0.000250188,0.002752064,0.003002252,0.00425319,0.002752064,0.000750563,0.003002252,0,0.000250188,0.000250188,0.000250188,0,0.025769327,0.008756567,0.001250938,0.000250188,0.037277958,0.002752064,0.008756567,0.013510133,0.071553665,0.003002252,0.002752064,0.003502627,0.085063798,0.034025519
RT35,0.93128925,0.03874215,0.013852974,0.0124215,0.000415589,0,0.003278537,0.476038937,0.006177462,0.001591164,0.257487832,0.038094347,0.003650318,0.006177462,0.000280794,0.031916885,0.03528641,0.002339948,0.000561587,0.003650318,0.003837514,0.00177836,0.002901535,0.002339948,0.000374392,9.36E-05,0.000935979,0.061868214,9.36E-05,0.004586297,0.002059154,0.002714339,0.003650318,0.003837514,0.005615874,0.005428678,0.000561587,0.00046799,0.001029577,0.00580307,0.000187196,0.000280794,0.000655185,0.003650318,0.003088731,0.004492699,0.005709472,0.001216773,0.000280794,0.000561587,0.00046799,0,0.006177462,0.05765011,0.021145023,0.027727907,0.010771993,0.003191702,0.451027329,0.068621584,0.006582885,0.007779773,0.003790146,0,0.00299222,0.012168362,0.004189108,0.054657889,0.006981847,0.007979254,0.001994813,0.005186515,0.005585478,0.000797925,0.000199481,0.001994813,0.131857171,0.000199481,0.009774586,0.00438859,0.003590664,0.002194295,0.007181329,0.000997407,0,0.000598444,0.011370437,0.000199481,0.001196888,0.000997407,0.002194295,0.012367844,0.000199481,0.001196888,0.002593258,0.000797925,0.002792739,0.009575105,0.009974067,0.002393776,0.000398963,0.001196888,0.000997407,0,0.000199481,0.013165769,0.002393776,0.140271493,0.053293112,0.059326295,0.017094017,0.007038713,0.011060835,0.017596782,0.015585721,0.019607843,0.004524887,0,0.007038713,0.111111111,0.012066365,0.016591252,0.020110608,0.003016591,0,0.025641026,0.022624434,0.010558069,0.080945199,0.002513826,0.004524887,0.134238311,0.006033183,0.00100553,0.006033183,0,0.005530417,0.002513826,0.003519356,0.009049774,0.005530417,0.018099548,0.002513826,0.000502765,0.019607843,0,0.010055304,0.018099548,0.000502765,0.00100553,0.024635495,0.000502765,0.006535948,0.007038713,0.022121669,0.00100553,0.00100553,0.003016591,0.028154852,0
